,schnam,leaid,gslo,gshi,openEnroll,level,MultiBdy,COUNTY,ENROLLMENT_x,DistrictName,PhysicalCity,Enrollment_1_x,DATE,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeachin_55,LastVerifiedDate,OpenDateGrouped,Enrollment_1_y,ENROLLMENT_y,district_enroll,county_enroll
1279,Park Avenue Elementary School,3904553,PK,5,0.0,1.0,0,MORROW,578.0,Mount Gilead Village School District,Mount Gilead,1300.0,2020-09-09,On Premises,No,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,No,2020-10-16,2020-09-09,1300.0,1198.0,1300.0,5341.0
1280,Locust Corner Elementary School,3904555,PK,6,0.0,1.0,0,CLERMONT,488.0,New Richmond Exempted Village Schl Dist,New Richmond,2380.0,2020-08-24,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Unknown,2020-10-01,2020-08-26,2380.0,2371.0,2380.0,68718.0
1281,Monroe Elementary School,3904555,KG,6,0.0,1.0,0,CLERMONT,450.0,New Richmond Exempted Village Schl Dist,New Richmond,2380.0,2020-08-24,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Unknown,2020-10-01,2020-08-26,2380.0,2371.0,2380.0,68718.0
1282,New Richmond Elementary School,3904555,PK,6,0.0,1.0,0,CLERMONT,410.0,New Richmond Exempted Village Schl Dist,New Richmond,2380.0,2020-08-24,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Unknown,2020-10-01,2020-08-26,2380.0,2371.0,2380.0,68718.0
1283,New Richmond High School,3904555,8,12,0.0,3.0,0,CLERMONT,648.0,New Richmond Exempted Village Schl Dist,New Richmond,2380.0,2020-08-24,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Unknown,2020-10-01,2020-08-26,2380.0,2371.0,2380.0,68718.0
1284,New Richmond Middle School,3904555,6,8,0.0,2.0,0,CLERMONT,375.0,New Richmond Exempted Village Schl Dist,New Richmond,2380.0,2020-08-24,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Unknown,2020-10-01,2020-08-26,2380.0,2371.0,2380.0,68718.0
1285,Newton Falls Elementary School,3904556,KG,3,0.0,1.0,0,TRUMBULL,294.0,Newton Falls Exempted Village Schl Dist,Newton Falls,900.0,2020-09-08,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Pending,2020-09-08,2020-09-09,900.0,994.0,994.0,28142.0
1286,Newton Falls Middle School,3904556,4,6,0.0,2.0,0,TRUMBULL,225.0,Newton Falls Exempted Village Schl Dist,Newton Falls,900.0,2020-09-08,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Pending,2020-09-08,2020-09-09,900.0,994.0,994.0,28142.0
1287,Newton Falls High School,3904556,9,12,0.0,3.0,0,TRUMBULL,318.0,Newton Falls Exempted Village Schl Dist,Newton Falls,900.0,2020-09-08,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Pending,2020-09-08,2020-09-09,900.0,994.0,994.0,28142.0
1288,Newton Falls Junior High School,3904556,7,8,0.0,2.0,0,TRUMBULL,157.0,Newton Falls Exempted Village Schl Dist,Newton Falls,900.0,2020-09-08,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Pending,2020-09-08,2020-09-09,900.0,994.0,994.0,28142.0
1289,Oakwood Elementary School,3904557,PK,6,0.0,1.0,0,PAULDING,276.0,Paulding Exempted Village Schools,Paulding,1541.0,2020-08-19,On Premises,Unknown,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,2020-12-30,2020-08-26,1541.0,1426.0,1541.0,3230.0
1290,Paulding High School,3904557,9,12,0.0,3.0,0,PAULDING,360.0,Paulding Exempted Village Schools,Paulding,1541.0,2020-08-19,On Premises,Unknown,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,2020-12-30,2020-08-26,1541.0,1426.0,1541.0,3230.0
1291,Paulding Elementary School,3904557,PK,5,0.0,1.0,0,PAULDING,496.0,Paulding Exempted Village Schools,Paulding,1541.0,2020-08-19,On Premises,Unknown,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,2020-12-30,2020-08-26,1541.0,1426.0,1541.0,3230.0
1292,Paulding Middle School,3904557,6,8,0.0,2.0,0,PAULDING,294.0,Paulding Exempted Village Schools,Paulding,1541.0,2020-08-19,On Premises,Unknown,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,2020-12-30,2020-08-26,1541.0,1426.0,1541.0,3230.0
1293,Frank Elementary School,3904558,PK,5,0.0,1.0,0,WOOD,442.0,Perrysburg Exempted Village School Dist,Perrysburg,5822.0,2020-08-25,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-14,2020-08-26,5822.0,4320.0,5822.0,20781.0
1294,Perrysburg High School,3904558,9,12,0.0,3.0,0,WOOD,1524.0,Perrysburg Exempted Village School Dist,Perrysburg,5822.0,2020-08-25,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-14,2020-08-26,5822.0,4320.0,5822.0,20781.0
1295,Perrysburg Junior High School,3904558,6,8,0.0,2.0,0,WOOD,830.0,Perrysburg Exempted Village School Dist,Perrysburg,5822.0,2020-08-25,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-14,2020-08-26,5822.0,4320.0,5822.0,20781.0
1296,Toth Elementary School,3904558,PK,5,0.0,1.0,0,WOOD,482.0,Perrysburg Exempted Village School Dist,Perrysburg,5822.0,2020-08-25,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-14,2020-08-26,5822.0,4320.0,5822.0,20781.0
1297,Woodland Elementary School,3904558,PK,5,0.0,1.0,0,WOOD,543.0,Perrysburg Exempted Village School Dist,Perrysburg,5822.0,2020-08-25,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-14,2020-08-26,5822.0,4320.0,5822.0,20781.0
1298,Fort Meigs Elementary School,3904558,PK,5,0.0,1.0,0,WOOD,499.0,Perrysburg Exempted Village School Dist,Perrysburg,5822.0,2020-08-25,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-14,2020-08-26,5822.0,4320.0,5822.0,20781.0
1299,Unassigned,3904558,KG,5,0.0,1.0,0,WOOD,,Perrysburg Exempted Village School Dist,Perrysburg,5822.0,2020-08-25,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-14,2020-08-26,5822.0,4320.0,5822.0,20781.0
1300,Eagle Point Elementary School,3904560,3,5,0.0,1.0,0,WOOD,356.0,Rossford Exempted Village School Dist,Rossford,1937.0,2020-08-20,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-13,2020-08-26,1937.0,1551.0,1937.0,20781.0
1301,Glenwood Elementary School,3904560,PK,2,0.0,1.0,0,WOOD,377.0,Rossford Exempted Village School Dist,Rossford,1937.0,2020-08-20,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-13,2020-08-26,1937.0,1551.0,1937.0,20781.0
1302,Rossford High School,3904560,9,12,0.0,3.0,0,WOOD,437.0,Rossford Exempted Village School Dist,Rossford,1937.0,2020-08-20,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-13,2020-08-26,1937.0,1551.0,1937.0,20781.0
1303,Rossford Junior High School,3904560,6,8,0.0,2.0,0,WOOD,381.0,Rossford Exempted Village School Dist,Rossford,1937.0,2020-08-20,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-13,2020-08-26,1937.0,1551.0,1937.0,20781.0
1304,Broadway Elementary School,3904561,2,3,0.0,1.0,0,MIAMI,371.0,Tipp City Exempted Village School Dist,Tipp City,2677.0,2020-08-31,On Premises,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-13,2020-09-02,2677.0,2474.0,2677.0,12826.0
1305,Tippecanoe Middle School,3904561,6,8,0.0,2.0,0,MIAMI,604.0,Tipp City Exempted Village School Dist,Tipp City,2677.0,2020-08-31,On Premises,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-13,2020-09-02,2677.0,2474.0,2677.0,12826.0
1306,Nevin Coppock Elementary School,3904561,KG,3,0.0,1.0,0,MIAMI,352.0,Tipp City Exempted Village School Dist,Tipp City,2677.0,2020-08-31,On Premises,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-13,2020-09-02,2677.0,2474.0,2677.0,12826.0
1307,Tippecanoe High School,3904561,9,12,0.0,3.0,0,MIAMI,763.0,Tipp City Exempted Village School Dist,Tipp City,2677.0,2020-08-31,On Premises,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-13,2020-09-02,2677.0,2474.0,2677.0,12826.0
1308,L. T. Ball Intermediate School,3904561,3,5,0.0,1.0,0,MIAMI,384.0,Tipp City Exempted Village School Dist,Tipp City,2677.0,2020-08-31,On Premises,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-13,2020-09-02,2677.0,2474.0,2677.0,12826.0
1309,Versailles Elementary School,3904563,KG,4,0.0,1.0,0,DARKE,506.0,Versailles Exempted Village Schools,Versailles,1328.0,2020-08-31,On Premises,Yes,No,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-07,2020-09-02,1328.0,1344.0,1344.0,8651.0
1310,Versailles High School,3904563,9,12,0.0,3.0,0,DARKE,420.0,Versailles Exempted Village Schools,Versailles,1328.0,2020-08-31,On Premises,Yes,No,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-07,2020-09-02,1328.0,1344.0,1344.0,8651.0
1311,Versailles Middle School,3904563,5,8,0.0,2.0,0,DARKE,418.0,Versailles Exempted Village Schools,Versailles,1328.0,2020-08-31,On Premises,Yes,No,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-07,2020-09-02,1328.0,1344.0,1344.0,8651.0
1312,Wauseon Middle School,3904564,6,8,0.0,2.0,0,FULTON,427.0,Wauseon Exempted Village School District,Wauseon,1950.0,2020-08-17,Hybrid,Yes,Yes,No,No,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,2021-01-11,2020-08-18,1950.0,1801.0,1950.0,8188.0
1313,Wauseon Elementary School,3904564,3,5,0.0,1.0,0,FULTON,439.0,Wauseon Exempted Village School District,Wauseon,1950.0,2020-08-17,Hybrid,Yes,Yes,No,No,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,2021-01-11,2020-08-18,1950.0,1801.0,1950.0,8188.0
1314,Wauseon High School,3904564,9,12,0.0,3.0,0,FULTON,541.0,Wauseon Exempted Village School District,Wauseon,1950.0,2020-08-17,Hybrid,Yes,Yes,No,No,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,2021-01-11,2020-08-18,1950.0,1801.0,1950.0,8188.0
1315,Wauseon Primary School,3904564,PK,2,0.0,1.0,0,FULTON,394.0,Wauseon Exempted Village School District,Wauseon,1950.0,2020-08-17,Hybrid,Yes,Yes,No,No,Required for all staff,Required for all students,Unknown,Unknown,Unknown,Yes,2021-01-11,2020-08-18,1950.0,1801.0,1950.0,8188.0
1316,Mccormick Middle School,3904565,4,8,0.0,2.0,0,LORAIN,428.0,Wellington Exempted Village School Dist,Wellington,1112.0,2020-09-14,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-16,2020-09-14,1112.0,1016.0,1112.0,43143.0
1317,Wellington High School,3904565,9,12,0.0,3.0,0,LORAIN,288.0,Wellington Exempted Village School Dist,Wellington,1112.0,2020-09-14,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-16,2020-09-14,1112.0,1016.0,1112.0,43143.0
1318,Westwood Elementary School,3904565,PK,3,0.0,1.0,0,LORAIN,300.0,Wellington Exempted Village School Dist,Wellington,1112.0,2020-09-14,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-16,2020-09-14,1112.0,1016.0,1112.0,43143.0
1319,Katherine Thomas Elementary School,3904566,PK,5,0.0,1.0,0,PORTAGE,203.0,Windham Exempted Village School District,Windham,515.0,2020-08-31,Unknown,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-10-29,2020-09-02,515.0,503.0,515.0,20789.0
1320,Windham High School,3904566,9,12,0.0,3.0,0,PORTAGE,151.0,Windham Exempted Village School District,Windham,515.0,2020-08-31,Unknown,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-10-29,2020-09-02,515.0,503.0,515.0,20789.0
1321,Windham Junior High School,3904566,6,8,0.0,2.0,0,PORTAGE,149.0,Windham Exempted Village School District,Windham,515.0,2020-08-31,Unknown,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-10-29,2020-09-02,515.0,503.0,515.0,20789.0
1322,Mills Lawn Elementary School,3904567,KG,6,0.0,1.0,0,GREENE,364.0,Yellow Springs Exempted Village Sch Dist,Yellow Springs,819.0,2020-08-27,Other,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-12-18,2020-09-02,819.0,734.0,819.0,23329.0
1323,Yellow Springs/McKinney High School,3904567,7,12,0.0,3.0,0,GREENE,370.0,Yellow Springs Exempted Village Sch Dist,Yellow Springs,819.0,2020-08-27,Other,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-12-18,2020-09-02,819.0,734.0,819.0,23329.0
1324,Allen East High School,3904575,7,12,0.0,3.0,0,ALLEN,318.0,Allen East Local School District,Harrod,1200.0,2020-08-31,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-13,2020-09-02,1200.0,809.0,1200.0,16319.0
1325,Allen East Elementary School,3904575,KG,6,0.0,1.0,0,ALLEN,491.0,Allen East Local School District,Harrod,1200.0,2020-08-31,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-13,2020-09-02,1200.0,809.0,1200.0,16319.0
1326,Bath Elementary School,3904576,KG,5,0.0,1.0,0,ALLEN,862.0,Bath Local School District,Lima,1766.0,2020-09-08,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-11-05,2020-09-09,1766.0,1776.0,1776.0,16319.0
1327,Bath High School,3904576,9,12,0.0,3.0,0,ALLEN,476.0,Bath Local School District,Lima,1766.0,2020-09-08,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-11-05,2020-09-09,1766.0,1776.0,1776.0,16319.0
1328,Bath Middle School,3904576,6,8,0.0,2.0,0,ALLEN,438.0,Bath Local School District,Lima,1766.0,2020-09-08,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-11-05,2020-09-09,1766.0,1776.0,1776.0,16319.0
1329,Elida High School,3904577,9,12,0.0,3.0,0,ALLEN,685.0,Elida Local School District,Elida,2560.0,2020-11-08,On Premises,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2021-01-13,2020-12-09,2560.0,2418.0,2560.0,16319.0
1330,Elida Elementary,3904577,KG,4,0.0,1.0,0,ALLEN,933.0,Elida Local School District,Elida,2560.0,2020-11-08,On Premises,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2021-01-13,2020-12-09,2560.0,2418.0,2560.0,16319.0
1331,Elida Middle School,3904577,5,10,0.0,4.0,0,ALLEN,800.0,Elida Local School District,Elida,2560.0,2020-11-08,On Premises,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2021-01-13,2020-12-09,2560.0,2418.0,2560.0,16319.0
1332,Perry Elementary School,3904578,KG,6,0.0,1.0,0,ALLEN,453.0,Perry Local School District,Lima,835.0,2020-09-01,Online Only,Yes,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2020-10-21,2020-09-02,835.0,798.0,835.0,16319.0
1333,Perry High School,3904578,7,12,0.0,3.0,0,ALLEN,345.0,Perry Local School District,Lima,835.0,2020-09-01,Online Only,Yes,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2020-10-21,2020-09-02,835.0,798.0,835.0,16319.0
1334,Elmwood Elementary School,3904579,KG,4,0.0,1.0,0,ALLEN,529.0,Shawnee Local School District,Lima,2573.0,2020-08-31,Hybrid,Yes,No,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-13,2020-09-02,2573.0,2434.0,2573.0,16319.0
1335,Maplewood Elementary School,3904579,3,4,0.0,1.0,0,ALLEN,404.0,Shawnee Local School District,Lima,2573.0,2020-08-31,Hybrid,Yes,No,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-13,2020-09-02,2573.0,2434.0,2573.0,16319.0
1336,Shawnee High School,3904579,9,12,0.0,3.0,0,ALLEN,714.0,Shawnee Local School District,Lima,2573.0,2020-08-31,Hybrid,Yes,No,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-13,2020-09-02,2573.0,2434.0,2573.0,16319.0
1337,Shawnee Middle School,3904579,5,8,0.0,2.0,0,ALLEN,787.0,Shawnee Local School District,Lima,2573.0,2020-08-31,Hybrid,Yes,No,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-13,2020-09-02,2573.0,2434.0,2573.0,16319.0
1338,Spencerville Elementary School,3904580,KG,4,0.0,1.0,0,ALLEN,367.0,Spencerville Local School District,Spencerville,1047.0,2020-09-01,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Unknown,Pending,Pending,Yes,2021-01-14,2020-09-02,1047.0,951.0,1047.0,16319.0
1339,Spencerville High School,3904580,9,12,0.0,3.0,0,ALLEN,285.0,Spencerville Local School District,Spencerville,1047.0,2020-09-01,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Unknown,Pending,Pending,Yes,2021-01-14,2020-09-02,1047.0,951.0,1047.0,16319.0
1340,Spencerville Middle School,3904580,5,8,0.0,2.0,0,ALLEN,299.0,Spencerville Local School District,Spencerville,1047.0,2020-09-01,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Unknown,Pending,Pending,Yes,2021-01-14,2020-09-02,1047.0,951.0,1047.0,16319.0
1341,Hillsdale Elementary School,3904582,KG,4,0.0,1.0,0,ASHLAND,284.0,Hillsdale Local School District,Jeromesville,835.0,2020-09-08,Hybrid,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2020-10-19,2020-09-09,835.0,800.0,835.0,7452.0
1342,Hillsdale High School,3904582,9,12,0.0,3.0,0,ASHLAND,234.0,Hillsdale Local School District,Jeromesville,835.0,2020-09-08,Hybrid,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2020-10-19,2020-09-09,835.0,800.0,835.0,7452.0
1343,Hillsdale Middle School,3904582,5,8,0.0,2.0,0,ASHLAND,282.0,Hillsdale Local School District,Jeromesville,835.0,2020-09-08,Hybrid,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2020-10-19,2020-09-09,835.0,800.0,835.0,7452.0
1344,Mapleton High School,3904583,9,12,0.0,3.0,0,ASHLAND,277.0,Mapleton Local Schools,Ashland,967.0,2020-08-24,Online Only,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,No,2020-12-22,2020-08-26,967.0,932.0,967.0,7452.0
1345,Mapleton Elementary School,3904583,PK,5,0.0,1.0,0,ASHLAND,420.0,Mapleton Local Schools,Ashland,967.0,2020-08-24,Online Only,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,No,2020-12-22,2020-08-26,967.0,932.0,967.0,7452.0
1346,Mapleton Middle School,3904583,6,8,0.0,2.0,0,ASHLAND,235.0,Mapleton Local Schools,Ashland,967.0,2020-08-24,Online Only,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,No,2020-12-22,2020-08-26,967.0,932.0,967.0,7452.0
1347,Grand Valley Middle School,3904586,5,8,0.0,2.0,0,ASHTABULA,374.0,Grand Valley Local School District,Orwell,1265.0,2020-08-25,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-07,2020-08-26,1265.0,1112.0,1265.0,12031.0
1348,Grand Valley High School,3904586,9,12,0.0,3.0,0,ASHTABULA,338.0,Grand Valley Local School District,Orwell,1265.0,2020-08-25,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-07,2020-08-26,1265.0,1112.0,1265.0,12031.0
1349,Grand Valley Elementary School,3904586,KG,4,0.0,1.0,0,ASHTABULA,400.0,Grand Valley Local School District,Orwell,1265.0,2020-08-25,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-07,2020-08-26,1265.0,1112.0,1265.0,12031.0
1350,Jefferson Elementary,3904587,KG,6,0.0,1.0,0,ASHTABULA,601.0,Jefferson Area Local Schools,Jefferson,1856.0,2020-08-26,On Premises,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-21,2020-08-26,1856.0,1632.0,1856.0,12031.0
1351,Jefferson Area Sr High School,3904587,9,12,0.0,3.0,0,ASHTABULA,463.0,Jefferson Area Local Schools,Jefferson,1856.0,2020-08-26,On Premises,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-21,2020-08-26,1856.0,1632.0,1856.0,12031.0
